timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/20 00:03:56.136, 1, 90 %, 22225 MiB, 348.93 W
2026/09/20 00:04:26.137, 0, 95 %, 22135 MiB, 360.94 W
2026/09/20 00:04:26.138, 1, 91 %, 22225 MiB, 329.64 W
2026/09/20 00:04:56.140, 0, 95 %, 22135 MiB, 381.76 W
2026/09/20 00:04:56.141, 1, 91 %, 22225 MiB, 359.09 W
2026/09/20 00:05:26.142, 0, 95 %, 22135 MiB, 359.94 W
2026/09/20 00:05:26.143, 1, 95 %, 22225 MiB, 364.06 W
2026/09/20 00:05:56.144, 0, 95 %, 22135 MiB, 386.93 W
2026/09/20 00:05:56.145, 1, 91 %, 22225 MiB, 327.22 W
2026/09/20 00:06:26.147, 0, 95 %, 22135 MiB, 394.48 W
2026/09/20 00:06:26.148, 1, 91 %, 22225 MiB, 355.80 W
2026/09/20 00:06:56.149, 0, 94 %, 22135 MiB, 358.26 W
2026/09/20 00:06:56.150, 1, 90 %, 22225 MiB, 365.83 W
2026/09/20 00:07:26.152, 0, 100 %, 22135 MiB, 387.36 W
2026/09/20 00:07:26.153, 1, 91 %, 22225 MiB, 327.70 W
2026/09/20 00:07:56.154, 0, 95 %, 22135 MiB, 357.54 W
2026/09/20 00:07:56.155, 1, 100 %, 22225 MiB, 380.77 W
2026/09/20 00:08:26.157, 0, 95 %, 22135 MiB, 399.16 W
2026/09/20 00:08:26.158, 1, 91 %, 22225 MiB, 351.81 W
2026/09/20 00:08:56.161, 0, 95 %, 22135 MiB, 403.04 W
2026/09/20 00:08:56.162, 1, 97 %, 22225 MiB, 339.07 W
2026/09/20 00:09:26.164, 0, 95 %, 22135 MiB, 357.13 W
2026/09/20 00:09:26.165, 1, 91 %, 22225 MiB, 331.40 W
2026/09/20 00:09:56.167, 0, 95 %, 22135 MiB, 357.66 W
2026/09/20 00:09:56.168, 1, 92 %, 22225 MiB, 375.89 W
2026/09/20 00:10:26.170, 0, 96 %, 22135 MiB, 406.67 W
2026/09/20 00:10:26.171, 1, 94 %, 22225 MiB, 358.53 W
2026/09/20 00:10:56.191, 0, 95 %, 22135 MiB, 358.40 W
2026/09/20 00:10:56.193, 1, 91 %, 22225 MiB, 356.43 W
2026/09/20 00:11:26.195, 0, 98 %, 22135 MiB, 393.56 W
2026/09/20 00:11:26.196, 1, 91 %, 22225 MiB, 405.91 W
2026/09/20 00:11:56.198, 0, 94 %, 22135 MiB, 361.99 W
2026/09/20 00:11:56.200, 1, 91 %, 22225 MiB, 330.47 W
2026/09/20 00:12:26.202, 0, 94 %, 22135 MiB, 374.29 W
2026/09/20 00:12:26.202, 1, 100 %, 22225 MiB, 369.42 W
2026/09/20 00:12:56.204, 0, 95 %, 22135 MiB, 392.85 W
2026/09/20 00:12:56.205, 1, 92 %, 22225 MiB, 367.37 W
2026/09/20 00:13:26.207, 0, 95 %, 22135 MiB, 353.98 W
2026/09/20 00:13:26.209, 1, 100 %, 22225 MiB, 360.99 W
2026/09/20 00:13:56.211, 0, 98 %, 22135 MiB, 362.29 W
2026/09/20 00:13:56.212, 1, 91 %, 22225 MiB, 348.27 W
2026/09/20 00:14:26.214, 0, 94 %, 22135 MiB, 357.25 W
2026/09/20 00:14:26.215, 1, 91 %, 22225 MiB, 332.91 W
2026/09/20 00:14:56.217, 0, 95 %, 22135 MiB, 356.71 W
2026/09/20 00:14:56.218, 1, 91 %, 22225 MiB, 328.51 W
2026/09/20 00:15:26.219, 0, 95 %, 22135 MiB, 354.78 W
2026/09/20 00:15:26.220, 1, 91 %, 22225 MiB, 329.05 W
2026/09/20 00:15:56.221, 0, 94 %, 22135 MiB, 356.10 W
2026/09/20 00:15:56.223, 1, 93 %, 22225 MiB, 341.76 W
2026/09/20 00:16:26.224, 0, 95 %, 22135 MiB, 356.85 W
2026/09/20 00:16:26.225, 1, 91 %, 22225 MiB, 339.19 W
2026/09/20 00:16:56.227, 0, 94 %, 22135 MiB, 356.40 W
2026/09/20 00:16:56.228, 1, 91 %, 22225 MiB, 326.73 W
2026/09/20 00:17:26.231, 0, 94 %, 22135 MiB, 355.72 W
2026/09/20 00:17:26.232, 1, 91 %, 22225 MiB, 327.79 W
2026/09/20 00:17:56.233, 0, 95 %, 22135 MiB, 358.17 W
2026/09/20 00:17:56.234, 1, 100 %, 22225 MiB, 400.93 W
2026/09/20 00:18:26.235, 0, 94 %, 22135 MiB, 355.72 W
2026/09/20 00:18:26.240, 1, 85 %, 22225 MiB, 354.33 W
2026/09/20 00:18:56.242, 0, 98 %, 22135 MiB, 374.73 W
2026/09/20 00:18:56.243, 1, 91 %, 22225 MiB, 329.10 W
2026/09/20 00:19:26.245, 0, 95 %, 22135 MiB, 356.40 W
2026/09/20 00:19:26.246, 1, 92 %, 22225 MiB, 333.70 W
2026/09/20 00:19:56.248, 0, 95 %, 22135 MiB, 356.35 W
2026/09/20 00:19:56.249, 1, 92 %, 22225 MiB, 327.72 W
2026/09/20 00:20:26.251, 0, 98 %, 22135 MiB, 377.58 W
2026/09/20 00:20:26.252, 1, 91 %, 22225 MiB, 336.35 W
2026/09/20 00:20:56.254, 0, 95 %, 22135 MiB, 356.23 W
2026/09/20 00:20:56.255, 1, 91 %, 22225 MiB, 325.31 W
2026/09/20 00:21:26.256, 0, 95 %, 22135 MiB, 355.36 W
2026/09/20 00:21:26.257, 1, 85 %, 22225 MiB, 346.22 W
2026/09/20 00:21:56.258, 0, 95 %, 22135 MiB, 366.08 W
2026/09/20 00:21:56.259, 1, 93 %, 22225 MiB, 350.06 W
2026/09/20 00:22:26.261, 0, 95 %, 22135 MiB, 358.06 W
2026/09/20 00:22:26.263, 1, 91 %, 22225 MiB, 348.53 W
2026/09/20 00:22:56.264, 0, 95 %, 22135 MiB, 357.54 W
2026/09/20 00:22:56.265, 1, 91 %, 22225 MiB, 348.74 W
2026/09/20 00:23:26.267, 0, 100 %, 22135 MiB, 421.84 W
2026/09/20 00:23:26.267, 1, 91 %, 22225 MiB, 340.58 W
2026/09/20 00:23:56.269, 0, 95 %, 22135 MiB, 361.14 W
2026/09/20 00:23:56.270, 1, 91 %, 22225 MiB, 352.12 W
2026/09/20 00:24:26.272, 0, 94 %, 22135 MiB, 358.89 W
2026/09/20 00:24:26.273, 1, 93 %, 22225 MiB, 362.87 W
2026/09/20 00:24:56.275, 0, 100 %, 22135 MiB, 398.82 W
2026/09/20 00:24:56.276, 1, 91 %, 22225 MiB, 370.61 W
2026/09/20 00:25:26.278, 0, 94 %, 22135 MiB, 362.70 W
2026/09/20 00:25:26.279, 1, 91 %, 22225 MiB, 348.59 W
2026/09/20 00:25:56.280, 0, 94 %, 22135 MiB, 358.27 W
2026/09/20 00:25:56.282, 1, 94 %, 22225 MiB, 339.48 W
2026/09/20 00:26:26.284, 0, 95 %, 22135 MiB, 357.36 W
2026/09/20 00:26:26.285, 1, 91 %, 22225 MiB, 348.43 W
2026/09/20 00:26:56.286, 0, 95 %, 22135 MiB, 359.12 W
2026/09/20 00:26:56.287, 1, 91 %, 22225 MiB, 344.45 W
2026/09/20 00:27:26.289, 0, 95 %, 22135 MiB, 393.30 W
2026/09/20 00:27:26.290, 1, 91 %, 22225 MiB, 355.18 W
2026/09/20 00:27:56.292, 0, 95 %, 22135 MiB, 356.81 W
2026/09/20 00:27:56.293, 1, 92 %, 22225 MiB, 351.28 W
2026/09/20 00:28:26.295, 0, 94 %, 22135 MiB, 357.19 W
2026/09/20 00:28:26.296, 1, 91 %, 22225 MiB, 326.42 W
2026/09/20 00:28:56.298, 0, 95 %, 22135 MiB, 356.88 W
2026/09/20 00:28:56.299, 1, 93 %, 22225 MiB, 356.63 W
2026/09/20 00:29:26.300, 0, 95 %, 22135 MiB, 357.67 W
2026/09/20 00:29:26.301, 1, 91 %, 22225 MiB, 355.12 W
2026/09/20 00:29:56.303, 0, 95 %, 22135 MiB, 357.75 W
2026/09/20 00:29:56.304, 1, 95 %, 22225 MiB, 370.54 W
2026/09/20 00:30:26.306, 0, 94 %, 22135 MiB, 385.27 W
2026/09/20 00:30:26.307, 1, 88 %, 22225 MiB, 357.03 W
2026/09/20 00:30:56.309, 0, 95 %, 22135 MiB, 357.20 W
2026/09/20 00:30:56.309, 1, 91 %, 22225 MiB, 354.95 W
2026/09/20 00:31:26.311, 0, 95 %, 22135 MiB, 358.60 W
2026/09/20 00:31:26.312, 1, 91 %, 22225 MiB, 377.77 W
2026/09/20 00:31:56.314, 0, 95 %, 22135 MiB, 378.89 W
2026/09/20 00:31:56.315, 1, 91 %, 22225 MiB, 339.20 W
2026/09/20 00:32:26.316, 0, 94 %, 22135 MiB, 357.38 W
2026/09/20 00:32:26.317, 1, 93 %, 22225 MiB, 342.84 W
2026/09/20 00:32:56.319, 0, 95 %, 22135 MiB, 357.58 W
2026/09/20 00:32:56.320, 1, 91 %, 22225 MiB, 328.81 W
2026/09/20 00:33:26.322, 0, 94 %, 22135 MiB, 361.95 W
2026/09/20 00:33:26.323, 1, 89 %, 22225 MiB, 336.21 W
